category,totalmps
Austria,18
Belgium,21
Bulgaria,17
Croatia,12
Cyprus,6
Czech Republic,21
Denmark,14
Estonia,7
Finland,14
France,79
Germany,96
Greece,21
Hungary,21
Ireland,13
Italy,76
Latvia,8
Lithuania,11
Luxembourg,6
Malta,6
Netherlands,26
Poland,52
Portugal,21
Romania,33
Slovakia,14
Slovenia,8
Spain,58
Sweden,21
ECR,60
GUE/NGL,39
Group of the European United Left - Nordic Green Left,39
ID,73
NA,45
PPE,184
RE,91
S&D,145
Verts/ALE,63
