name,id,voted,votes,percent,active
"Christine REVAULT D'ALLONNES BONNEFOY",124287,9368,9746,96.12,True
"Martina DLABAJOVÁ",124709,9363,9746,96.07,True
"Angel DZHAMBAZKI",124873,9363,9746,96.07,True
"Ingeborg GRÄSSLE",28220,9363,9746,96.07,True
"Herbert REUL",28225,5397,5620,96.03,False
"Angélique DELAHAYE",124732,9353,9746,95.97,True
"Karoline GRASWANDER-HAINZ",133316,8269,8622,95.91,True
"Seb DANCE",124952,9344,9746,95.88,True
"Stefan ECK",124863,9343,9746,95.86,True
"Marc TARABELLA",29579,9342,9746,95.85,True
"Julie WARD",124963,9340,9746,95.83,True
"Tomáš ZDECHOVSKÝ",124713,9338,9746,95.81,True
"Ramón Luis VALCÁRCEL SISO",125032,9337,9746,95.80,True
"Tilly METZ",193292,2167,2262,95.80,True
"Xabier BENITO ZILUAGA",135490,7340,7662,95.80,True
"Brando BENIFEI",124867,9336,9746,95.79,True
"Branislav ŠKRIPEK",124927,9336,9746,95.79,True
"Andrejs MAMIKINS",124746,9333,9746,95.76,True
"Tokia SAÏFI",4345,9332,9746,95.75,True
"Clara Eugenia AGUILERA GARCÍA",125045,9326,9746,95.69,True
"Carlos COELHO",1892,9317,9746,95.60,True
"Othmar KARAS",4246,9316,9746,95.59,True
"Lorenzo FONTANA",96993,6661,6969,95.58,False
"Kosma ZŁOTOWSKI",124884,9314,9746,95.57,True
"Luigi MORGANO",124788,9306,9746,95.49,True
"Eider GARDIAZABAL RUBIAL",96991,9301,9746,95.43,True
"Luke Ming FLANAGAN",124985,9298,9746,95.40,True
"Esteban GONZÁLEZ PONS",125027,9297,9746,95.39,True
"John HOWARTH",188636,4043,4239,95.38,True
"Mylène TROSZCZYNSKI",124758,9295,9746,95.37,True
"Nathalie GRIESBECK",28208,9293,9746,95.35,True
"Liliana RODRIGUES",125099,9291,9746,95.33,True
"Markus PIEPER",28224,9288,9746,95.30,True
"Gabriele PREUSS",124888,9285,9746,95.27,True
"Alain CADEC",96849,9284,9746,95.26,True
"Julia PITERA",124898,9279,9746,95.21,True
"Daniele VIOTTI",124791,9279,9746,95.21,True
"Anna ZÁBORSKÁ",23894,9278,9746,95.20,True
"Lampros FOUNTOULIS",125070,9277,9746,95.19,True
"Monika VANA",124934,9276,9746,95.18,True
"Ricardo SERRÃO SANTOS",124741,9274,9746,95.16,True
"Robert Jarosław IWASZKIEWICZ",124886,9272,9746,95.14,True
"António MARINHO E PINTO",124742,9272,9746,95.14,True
"Marie-Christine ARNAUTU",124748,9271,9746,95.13,True
"André ELISSEN",188445,4089,4299,95.12,True
"Andrea BOCSKOR",124712,9269,9746,95.11,True
"Alain LAMASSOURE",1204,9261,9746,95.02,True
"Zbigniew KUŹMIUK",28389,9260,9746,95.01,True
"Jarosław WAŁĘSA",96774,9260,9746,95.01,True
"Rainer WIELAND",2323,9256,9746,94.97,True
"Ignazio CORRAO",124856,9255,9746,94.96,True
"Michel REIMON",124935,9253,9746,94.94,True
"Elly SCHLEIN",124804,9250,9746,94.91,True
"Patricija ŠULIN",125103,9249,9746,94.90,True
"Gilles LEBRETON",124738,9246,9746,94.87,True
"Daniel BUDA",125012,9243,9746,94.84,True
"Marijana PETIR",124749,9237,9746,94.78,True
"Karima DELLI",96868,9230,9746,94.71,True
"Danuta Maria HÜBNER",96779,9229,9746,94.70,True
"Isabelle THOMAS",114279,9225,9746,94.65,True
"Ivana MALETIĆ",119436,9223,9746,94.63,True
"Pavel POC",96715,9222,9746,94.62,True
"Bolesław G. PIECHA",124874,9221,9746,94.61,True
"Aleksander GABELIC",192465,2627,2777,94.60,True
"Jonathan ARNOTT",124958,9217,9746,94.57,True
"Miguel URBÁN CRESPO",131507,8926,9446,94.50,True
"Kazimierz Michał UJAZDOWSKI",23791,9209,9746,94.49,True
"Peter KOUROUMBASHEV",124857,4744,5021,94.48,True
"Thomas WAITZ",190464,3437,3638,94.47,True
"Beatriz BECERRA BASTERRECHEA",125040,9192,9746,94.32,True
"Dominique RIQUET",96885,9192,9746,94.32,True
"Francesc GAMBÚS",125006,9190,9746,94.30,True
"Elisabeth KÖSTINGER",96882,5758,6108,94.27,False
"Dominique BILDE",124771,9186,9746,94.25,True
"Michela GIUFFRIDA",124864,9186,9746,94.25,True
"Adam GIEREK",28379,9182,9746,94.21,True
"Tiemo WÖLKEN",185619,5086,5401,94.17,True
"Csaba SÓGOR",39724,9174,9746,94.13,True
"Susanne MELIOR",124838,9173,9746,94.12,True
"Dominique MARTIN",124751,9170,9746,94.09,True
"Krzysztof HETMAN",124895,9169,9746,94.08,True
"Norbert NEUSER",96844,9166,9746,94.05,True
"Philippe LOISEAU",125684,9165,9746,94.04,True
"Romana TOMC",125104,9155,9746,93.94,True
"Malin BJÖRK",124992,9149,9746,93.87,True
"Sylvie GUILLAUME",96952,9148,9746,93.86,True
"Miguel VIEGAS",125100,9146,9746,93.84,True
"Giuseppe FERRANDINO",192634,2605,2776,93.84,True
"Roberta METSOLA",118859,9145,9746,93.83,True
"Sampo TERHO",107385,440,469,93.82,False
"Damiano ZOFFOLI",131051,8859,9446,93.79,True
"Mary HONEYBALL",5846,9138,9746,93.76,True
"Mario BORGHEZIO",21817,9137,9746,93.75,True
"France JAMET",189065,3835,4091,93.74,True
"Petra KAMMEREVERT",96837,9136,9746,93.74,True
"Inés AYALA SENDER",28292,9133,9746,93.71,True
"Izaskun BILBAO BARANDICA",96922,9133,9746,93.71,True
"Monica MACOVEI",96824,9130,9746,93.68,True
"Michèle ALLIOT-MARIE",1179,9129,9746,93.67,True
"Andrey KOVATCHEV",97968,9128,9746,93.66,True
"Georg MAYER",38511,9126,9746,93.64,True
"Heinz K. BECKER",107041,9122,9746,93.60,True
"Marielle de SARNEZ",4335,5031,5376,93.58,False
"Judith SARGENTINI",96815,9119,9746,93.57,True
"Ramón JÁUREGUI ATONDO",97078,9116,9746,93.54,True
"Victor NEGRESCU",88882,5150,5507,93.52,False
"Jeppe KOFOD",124870,9114,9746,93.52,True
"David CASA",28122,9107,9746,93.44,True
"Agnieszka KOZŁOWSKA-RAJEWICZ",124889,9106,9746,93.43,True
"Jean-Luc SCHAFFHAUSER",124755,9105,9746,93.42,True
"Eugen FREUND",125018,9104,9746,93.41,True
"Ruža TOMAŠIĆ",119431,9104,9746,93.41,True
"Momchil NEKOV",125013,9103,9746,93.40,True
"Louis MICHEL",96670,9101,9746,93.38,True
"Enrique CALVET CHAMBON",129407,9041,9682,93.38,True
"Soledad CABEZÓN RUIZ",125041,9098,9746,93.35,True
"Biljana BORZAN",112748,9092,9746,93.29,True
"Jakop DALUNDE",183338,5916,6342,93.28,True
"Miriam DALLI",124970,9091,9746,93.28,True
"Siegfried MUREŞAN",124802,9091,9746,93.28,True
"Andreas SCHWAB",28223,9090,9746,93.27,True
"Ivo VAJGL",97019,9088,9746,93.25,True
"Molly SCOTT CATO",124942,9079,9746,93.16,True
"Tomislav DONCHEV",124843,54,58,93.10,False
"Eric ANDRIEU",113892,9073,9746,93.09,True
"Francisco José MILLÁN MON",28400,9069,9746,93.05,True
"Sabine VERHEYEN",96756,9069,9746,93.05,True
"Ulrike RODUST",93624,9068,9746,93.04,True
"Therese COMODINI CACHIA",124968,5120,5507,92.97,False
"Frédérique RIES",4253,9061,9746,92.97,True
"Daniel CASPARY",28219,9060,9746,92.96,True
"Jean LAMBERT",4531,9057,9746,92.93,True
"Gesine MEISSNER",96870,9057,9746,92.93,True
"Arnaud DANJEAN",96747,9055,9746,92.91,True
"Michael GAHLER",2341,9055,9746,92.91,True
"Marian-Jean MARINESCU",33982,9055,9746,92.91,True
"Nadine MORANO",72779,9055,9746,92.91,True
"Angelika NIEBLER",4289,9051,9746,92.87,True
"Hugues BAYET",125002,9048,9746,92.84,True
"Klaus BUCHNER",124818,9047,9746,92.83,True
"Stefan GEHROLD",194391,1860,2004,92.81,True
"Arne LIETZ",124839,9039,9746,92.75,True
"Martin SCHIRDEWAN",190517,3373,3638,92.72,True
"Luděk NIEDERMAYER",124701,9035,9746,92.70,True
"Alfred SANT",124781,9033,9746,92.68,True
"Jeroen LENAERS",95074,9032,9746,92.67,True
"György SCHÖPFLIN",28135,9031,9746,92.66,True
"Milan ZVER",96933,9029,9746,92.64,True
"Franz OBERMAYR",96981,9028,9746,92.63,True
"Georgios EPITIDEIOS",125071,9027,9746,92.62,True
"Philippe DE BACKER",109337,3031,3273,92.61,False
"Franc BOGOVIČ",125004,9023,9746,92.58,True
"Kaja KALLAS",124697,7073,7641,92.57,False
"Sven SCHULZE",124809,9016,9746,92.51,True
"Aymeric CHAUPRADE",124752,9015,9746,92.50,True
"József NAGY",124926,9012,9746,92.47,True
"Tibor SZANYI",124703,9011,9746,92.46,True
"Flavio ZANONATO",124800,9010,9746,92.45,True
"Pier Antonio PANZERI",28365,9009,9746,92.44,True
"Dubravka ŠUICA",119434,9009,9746,92.44,True
"Peter ERIKSSON",124937,3088,3341,92.43,False
"Brian HAYES",118658,9001,9746,92.36,True
"Lambert van NISTELROOIJ",28165,8999,9746,92.34,True
"Iratxe GARCÍA PÉREZ",28298,8998,9746,92.33,True
"Francis ZAMMIT DIMECH",188906,3912,4239,92.29,True
"Salvatore CICU",124854,8993,9746,92.27,True
"Bernd LUCKE",124820,8990,9746,92.24,True
"Alex MAYER",185637,4982,5401,92.24,True
"Davor ŠKRLEC",124756,8989,9746,92.23,True
"Merja KYLLÖNEN",124736,8988,9746,92.22,True
"Wim van de CAMP",96754,8987,9746,92.21,True
"Daniel DALTON",35135,8798,9543,92.19,True
"Karin KADENBACH",97014,8981,9746,92.15,True
"Giulia MOI",124859,8981,9746,92.15,True
"Zoltán BALCZÓ",96877,8980,9746,92.14,True
"Siôn SIMON",124948,8980,9746,92.14,True
"Marietje SCHAAKE",96945,8979,9746,92.13,True
"João PIMENTA LOPES",136236,6660,7230,92.12,True
"Norbert ERDŐS",124711,8977,9746,92.11,True
"Zdzisław KRASNODĘBSKI",124891,8975,9746,92.09,True
"Monika SMOLKOVÁ",96655,8975,9746,92.09,True
"Pál CSÁKY",124930,8974,9746,92.08,True
"Paul BRANNEN",124954,8972,9746,92.06,True
"Hilde VAUTMANS",130100,8785,9543,92.06,True
"Inês Cristina ZUBER",111589,2316,2516,92.05,False
"Filiz HYUSMENOVA",34249,8971,9746,92.05,True
"Jean-Paul DENANOT",94282,6845,7438,92.03,False
"Jan Philipp ALBRECHT",96736,6887,7484,92.02,False
"Ashley FOX",96957,8967,9746,92.01,True
"Remo SERNAGIOTTO",124794,8967,9746,92.01,True
"Antonio LÓPEZ-ISTÚRIZ WHITE",28399,8966,9746,92.00,True
"Arndt KOHN",186884,4376,4757,91.99,True
"Neena GILL",4533,8964,9746,91.98,True
"Notis MARIAS",125069,8963,9746,91.97,True
"Claudiu Ciprian TĂNĂSESCU",96847,8962,9746,91.96,True
"Fabio Massimo CASTALDO",124812,8961,9746,91.95,True
"Ulrike LUNACEK",97017,5616,6108,91.94,False
"Jonathan BULLOCK",188733,3761,4091,91.93,True
"Miroslav MIKOLÁŠIK",28178,8959,9746,91.92,True
"Ana GOMES",28306,8955,9746,91.88,True
"Gilles PARGNEAUX",96948,8945,9746,91.78,True
"Dariusz ROSATI",28394,8944,9746,91.77,True
"Harald VILIMSKY",125001,8943,9746,91.76,True
"Eduard KUKAN",96651,8940,9746,91.73,True
"Mireille D'ORNANO",124750,8939,9746,91.72,True
"Helmut SCHOLZ",96646,8939,9746,91.72,True
"Fernando RUAS",124730,8937,9746,91.70,True
"Agnes JONGERIUS",125021,8936,9746,91.69,True
"David MARTIN",1403,8936,9746,91.69,True
"Werner LANGEN",1928,8933,9746,91.66,True
"Ismail ERTUG",96842,8930,9746,91.63,True
"Asim ADEMOV",189525,3706,4045,91.62,True
"Miltiadis KYRKOS",125113,8928,9746,91.61,True
"Jaromír ŠTĚTINA",124702,8928,9746,91.61,True
"Maria Lidia SENRA RODRÍGUEZ",125049,8926,9746,91.59,True
"María Teresa GIMÉNEZ BARBAT",135491,7017,7662,91.58,True
"Janusz LEWANDOWSKI",23781,8925,9746,91.58,True
"Terry REINTKE",103381,8922,9746,91.55,True
"Maria NOICHL",124836,8919,9746,91.51,True
"Jörg MEUTHEN",190518,3328,3638,91.48,True
"Deirdre CLUNE",124988,8914,9746,91.46,True
"Dennis RADTKE",188945,3739,4091,91.40,True
"José BOVÉ",96744,8907,9746,91.39,True
"Gerolf ANNEMANS",124973,8906,9746,91.38,True
"Tom VANDENKENDELAERE",129164,8852,9688,91.37,True
"Barbara KUDRYCKA",28284,8903,9746,91.35,True
"Danuta JAZŁOWIECKA",96781,8898,9746,91.30,True
"Olga SEHNALOVÁ",96718,8896,9746,91.28,True
"Jonás FERNÁNDEZ",125046,8895,9746,91.27,True
"Jozo RADOŠ",112753,8895,9746,91.27,True
"Charles GOERENS",840,8891,9746,91.23,True
"Maite PAGAZAURTUNDÚA RUIZ",125038,8891,9746,91.23,True
"Peter SIMON",96836,8891,9746,91.23,True
"Barbara KAPPEL",125024,8890,9746,91.22,True
"Andrey NOVAKOV",107212,8831,9682,91.21,True
"Matt CARTHY",124986,8889,9746,91.21,True
"Sylvie GODDYN",21331,8889,9746,91.21,True
"Martin HÄUSLING",96752,8889,9746,91.21,True
"Franck PROUST",108080,8889,9746,91.21,True
"Josef WEIDENHOLZER",111014,8889,9746,91.21,True
"Cora van NIEUWENHUIZEN",125019,5427,5953,91.16,False
"Gérard DEPREZ",1473,8880,9746,91.11,True
"Emmanuel MAUREL",24505,8879,9746,91.10,True
"Stanisław OŻÓG",124897,8877,9746,91.08,True
"Isabella ADINOLFI",124831,8875,9746,91.06,True
"Marju LAURISTIN",124698,5562,6108,91.06,False
"Jean-Marie CAVADA",28206,8873,9746,91.04,True
"Jan OLBRYCHT",28288,8873,9746,91.04,True
"Anneleen VAN BOSSUYT",117491,8688,9543,91.04,True
"José Inácio FARIA",125101,8872,9746,91.03,True
"Sylvia-Yvonne KAUFMANN",1849,8872,9746,91.03,True
"Ulrike MÜLLER",124862,8871,9746,91.02,True
"Norbert LINS",124808,8868,9746,90.99,True
"Monika HOHLMEIER",96780,8865,9746,90.96,True
"Valentinas MAZURONIS",124768,8865,9746,90.96,True
"Michel DANTIN",97296,8861,9746,90.92,True
"Jiří PAYNE",189507,3719,4091,90.91,True
"Peter van DALEN",96809,8859,9746,90.90,True
"Caterina CHINNICI",124861,8856,9746,90.87,True
"Kathleen VAN BREMPT",5729,8853,9746,90.84,True
"Afzal KHAN",124962,4947,5447,90.82,False
"Daniela AIUTO",124842,8851,9746,90.82,True
"Sophie MONTEL",124769,8851,9746,90.82,True
"Marco ZULLO",125237,8851,9746,90.82,True
"Marlene MIZZI",118858,8849,9746,90.80,True
"John Stuart AGNEW",96897,8845,9746,90.76,True
"Rosa D'AMATO",124835,8843,9746,90.73,True
"Jens GEIER",96833,8839,9746,90.69,True
"Carlos ITURGAIZ",28398,8837,9746,90.67,True
"Martina WERNER",124826,8836,9746,90.66,True
"Jean ARTHUIS",124773,8833,9746,90.63,True
"Richard CORBETT",2309,8832,9746,90.62,True
"Christelle LECHEVALIER",188718,3841,4239,90.61,True
"Romeo FRANZ",193273,2048,2261,90.58,True
"Jerzy BUZEK",28269,8827,9746,90.57,True
"José Manuel FERNANDES",96899,8824,9746,90.54,True
"Olaf STUGER",125028,8821,9746,90.51,True
"Philippe LAMBERTS",96648,8820,9746,90.50,True
"Benedek JÁVOR",124721,8817,9746,90.47,True
"Ramon TREMOSA i BALCELLS",97203,8817,9746,90.47,True
"Marco ZANNI",124780,8817,9746,90.47,True
"Elisa FERREIRA",28308,3206,3544,90.46,False
"Mady DELVAUX",124776,8811,9746,90.41,True
"Maria HEUBUCH",124848,8811,9746,90.41,True
"Péter NIEDERMÜLLER",124723,8809,9746,90.39,True
"Marian HARKIN",28116,8807,9746,90.37,True
"Petras AUŠTREVIČIUS",124766,8806,9746,90.36,True
"Francisco ASSIS",28307,8799,9746,90.28,True
"Victor BOŞTINARU",39711,8795,9746,90.24,True
"Bernard MONOT",124761,8795,9746,90.24,True
"Nedzhmi ALI",34250,8790,9746,90.19,True
"Andrea COZZOLINO",96880,8790,9746,90.19,True
"Marie-Christine VERGIAT",96858,8790,9746,90.19,True
"Marisa MATIAS",96820,8789,9746,90.18,True
"Patrizia TOIA",28340,8786,9746,90.15,True
"Laura FERRARA",124833,8783,9746,90.12,True
"Joachim ZELLER",96762,8780,9746,90.09,True
"Anders Primdahl VISTISEN",124875,8777,9746,90.06,True
"Giovanni LA VIA",96816,8775,9746,90.04,True
"Vincent PEILLON",28166,8773,9746,90.02,True
"Anneli JÄÄTTEENMÄKI",28314,8772,9746,90.01,True
"Jutta STEINRUCK",96831,5762,6402,90.00,False
"Michael CRAMER",28238,8770,9746,89.99,True
"Elżbieta Katarzyna ŁUKACIJEWSKA",96791,8770,9746,89.99,True
"Igor ŠOLTES",125003,8762,9746,89.90,True
"Soraya POST",124997,8743,9746,89.71,True
"József SZÁJER",23821,8737,9746,89.65,True
"Eleonora FORENZA",125193,8730,9746,89.58,True
"Axel VOSS",96761,8730,9746,89.58,True
"Bernd KÖLMEL",124824,8727,9746,89.54,True
"Pavel SVOBODA",96272,8727,9746,89.54,True
"Marek JUREK",124892,8721,9746,89.48,True
"Tiziana BEGHIN",124777,8720,9746,89.47,True
"Sven GIEGOLD",96730,8720,9746,89.47,True
"Birgit COLLIN-LANGEN",112788,8717,9746,89.44,True
"Andi CRISTEA",40224,8717,9746,89.44,True
"Joachim STARBATTY",124827,8717,9746,89.44,True
"Jadwiga WIŚNIEWSKA",124877,8715,9746,89.42,True
"Norica NICOLAI",96825,8713,9746,89.40,True
"Ryszard CZARNECKI",28372,8706,9746,89.33,True
"Bas BELDER",4507,8704,9746,89.31,True
"Nikos ANDROULAKIS",125110,8700,9746,89.27,True
"Neoklis SYLIKIOTIS",124689,8696,9746,89.23,True
"Kristina WINBERG",124995,8696,9746,89.23,True
"Barbara LOCHBIHLER",96728,8695,9746,89.22,True
"Arne GERICKE",124815,8694,9746,89.21,True
"Mercedes BRESSO",28346,8691,9746,89.18,True
"Richard SULÍK",124928,8686,9746,89.12,True
"Nessa CHILDERS",96603,8684,9746,89.10,True
"Takis HADJIGEORGIOU",96907,8684,9746,89.10,True
"Ernest URTASUN",124972,8682,9746,89.08,True
"Janusz KORWIN-MIKKE",124879,5879,6601,89.06,False
"Miroslavs MITROFANOVS",191695,2689,3020,89.04,True
"Annie SCHREIJER-PIERIK",125030,8677,9746,89.03,True
"Fredrick FEDERLEY",124989,8675,9746,89.01,True
"Rory PALMER",190099,3526,3962,89.00,True
"Ilhan KYUCHYUK",124866,8673,9746,88.99,True
"Angelika MLINAR",125026,8671,9746,88.97,True
"Jussi HALLA-AHO",124727,8665,9746,88.91,True
"Csaba MOLNÁR",124722,8664,9746,88.90,True
"Mark DEMESMAEKER",117477,8662,9746,88.88,True
"Lola SÁNCHEZ CALDENTEY",125035,8662,9746,88.88,True
"Jan KELLER",124695,8651,9746,88.76,True
"Gabrielius LANDSBERGIS",124759,2919,3290,88.72,False
"Richard ASHWORTH",28132,8646,9746,88.71,True
"Karol KARSKI",124887,8646,9746,88.71,True
"Miapetra KUMPULA-NATRI",124735,8641,9746,88.66,True
"Jørn DOHRMANN",124878,8637,9746,88.62,True
"Theresa GRIFFIN",124961,8637,9746,88.62,True
