name,id,voted,votes,percent,active
"Anders SELLSTRÖM",194658,1693,1985,85.29,True
"Joëlle MÉLIN",124765,8312,9746,85.29,True
"Traian UNGUREANU",96835,8311,9746,85.28,True
"Emilian PAVEL",129256,8261,9688,85.27,True
"Christian EHLER",28226,8307,9746,85.23,True
"Virginie ROZIÈRE",103845,8307,9746,85.23,True
"Enrique GUERRERO SALOM",96768,8306,9746,85.22,True
"Udo BULLMANN",4267,8305,9746,85.21,True
"Bruno GOLLNISCH",1164,8305,9746,85.21,True
"Constanze KREHL",1854,8304,9746,85.20,True
"João FERREIRA",96706,8301,9746,85.17,True
"Iliana IOTOVA",38605,4024,4725,85.16,False
"Lars ADAKTUSSON",124990,6587,7742,85.08,False
"Alojz PETERLE",23693,8291,9746,85.07,True
"Beatrix von STORCH",124825,4985,5861,85.05,False
"Kati PIRI",37229,8287,9746,85.03,True
"Martina ANDERSON",113959,8282,9746,84.98,True
"Luis de GRANDES PASCUAL",28393,8278,9746,84.94,True
"Joachim SCHUSTER",124837,8271,9746,84.87,True
"Mihai ŢURCANU",131750,8003,9446,84.72,True
"Jiří POSPÍŠIL",125706,8254,9746,84.69,True
"Miroslav POCHE",124699,8253,9746,84.68,True
"Salvatore Domenico POGLIESE",124853,6470,7641,84.67,False
"Birgit SIPPEL",96932,8238,9746,84.53,True
"Knut FLECKENSTEIN",96840,8237,9746,84.52,True
"Michał MARUSIK",124894,8236,9746,84.51,True
"Gabriele ZIMMER",28248,8236,9746,84.51,True
"Jarosław KALINOWSKI",96771,8235,9746,84.50,True
"Javi LÓPEZ",125042,8233,9746,84.48,True
"Yana TOOM",124700,8230,9746,84.44,True
"Baroness Nosheena MOBARIK",189391,3454,4091,84.43,True
"Davor Ivo STIER",119435,3472,4114,84.39,False
"Guy VERHOFSTADT",97058,8214,9746,84.28,True
"Iuliu WINKLER",39725,8211,9746,84.25,True
"Róża Gräfin von THUN UND HOHENSTEIN",96776,8210,9746,84.24,True
"Andrew LEWER",124943,4588,5447,84.23,False
"John PROCTER",185628,4547,5401,84.19,True
"Massimo PAOLUCCI",124849,8197,9746,84.11,True
"Czesław Adam SIEKIERSKI",23787,8196,9746,84.10,True
"Jude KIRTON-DARLING",124953,8188,9746,84.01,True
"Petri SARVAMAA",112611,8187,9746,84.00,True
"Juan Fernando LÓPEZ AGUILAR",96812,8180,9746,83.93,True
"Ivo BELET",28257,8179,9746,83.92,True
"Elsi KATAINEN",191693,2637,3146,83.82,True
"Alberto CIRIO",124772,8159,9746,83.72,True
"Tomasz Piotr PORĘBA",96801,8157,9746,83.70,True
"Jakob von WEIZSÄCKER",124840,8155,9746,83.68,True
"Philippe JUVIN",96884,8148,9746,83.60,True
"Julia REID",106202,8148,9746,83.60,True
"David-Maria SASSOLI",96864,8144,9746,83.56,True
"Johannes Cornelis van BAALEN",96937,8143,9746,83.55,True
"Sergio GUTIÉRREZ PRIETO",103488,8139,9746,83.51,True
"Kateřina KONEČNÁ",23699,8131,9746,83.43,True
"Inese VAIDERE",28617,8124,9746,83.36,True
"Ádám KÓSA",96829,8121,9746,83.33,True
"Viviane REDING",1185,6362,7641,83.26,False
"Keith TAYLOR",102931,8108,9746,83.19,True
"Marco AFFRONTE",124797,8107,9746,83.18,True
"Indrek TARAND",97136,8107,9746,83.18,True
"Eva JOLY",96883,8099,9746,83.10,True
"Danilo Oscar LANCINI",192635,2304,2776,83.00,True
"Cécile Kashetu KYENGE",124801,8087,9746,82.98,True
"Rolandas PAKSAS",96694,8083,9746,82.94,True
"Auke ZIJLSTRA",103246,8082,9746,82.93,True
"Patrick LE HYARIC",96735,8080,9746,82.91,True
"Cecilia WIKSTRÖM",96677,8063,9746,82.73,True
"Hannu TAKKULA",28316,5453,6600,82.62,False
"Burkhard BALZ",96997,6312,7641,82.61,False
"Nuno MELO",96978,8049,9746,82.59,True
"Jo LEINEN",4262,8046,9746,82.56,True
"Željana ZOVKO",185341,4648,5632,82.53,True
"Fulvio MARTUSCIELLO",124828,8030,9746,82.39,True
"Vicky FORD",96949,4487,5447,82.38,False
"Matteo SALVINI",28404,5736,6969,82.31,False
"László TŐKÉS",39726,8015,9746,82.24,True
"Nathan GILL",124965,8014,9746,82.23,True
"Valdemar TOMAŠEVSKI",96697,8011,9746,82.20,True
"Rupert MATTHEWS",188622,3484,4239,82.19,True
"Markus FERBER",1917,7996,9746,82.04,True
"Tanja FAJON",96911,7991,9746,81.99,True
"Bogdan Brunon WENTA",124903,7990,9746,81.98,True
"Patrick O'FLYNN",124940,7989,9746,81.97,True
"Martina MICHELS",120478,7980,9746,81.88,True
"Frank ENGEL",96876,7971,9746,81.79,True
"Marc JOULAUD",124728,7966,9746,81.74,True
"Bendt BENDTSEN",96705,7949,9746,81.56,True
"Eva MAYDELL",98341,7935,9746,81.42,True
"Jacques COLOMBIER",191510,2625,3225,81.40,True
"Constance LE GRIP",101580,5051,6209,81.35,False
"Ole CHRISTENSEN",28154,7924,9746,81.31,True
"Richard HOWITT",2073,3531,4345,81.27,False
"Zigmantas BALČYTIS",96680,7917,9746,81.23,True
"Linda McAVAN",2327,7917,9746,81.23,True
"Agustín DÍAZ DE MERA GARCÍA CONSUEGRA",28397,7910,9746,81.16,True
"Elmar BROK",1263,7904,9746,81.10,True
"Elena VALENCIANO",4334,7894,9746,81.00,True
"Emil RADEV",124850,7886,9746,80.92,True
"Marcus PRETZELL",124830,7883,9746,80.88,True
"Kostas CHRYSOGONOS",125061,7881,9746,80.86,True
"Sorin MOISĂ",124789,7881,9746,80.86,True
"Anna Maria CORAZZA BILDT",96674,7878,9746,80.83,True
"Jytte GUTELAND",124991,7870,9746,80.75,True
"Manolis KEFALOGIANNIS",125068,7868,9746,80.73,True
"Iris HOFFMANN",124841,7860,9746,80.65,True
"Louis-Joseph MANSCOUR",124725,7848,9746,80.53,True
"Juan Carlos GIRAUTA VIDAL",125052,1972,2449,80.52,False
"Javier NART",125005,7846,9746,80.50,True
"Jean-Luc MÉLENCHON",96742,4431,5507,80.46,False
"Maria João RODRIGUES",124737,7841,9746,80.45,True
"Andrej PLENKOVIĆ",112755,3309,4114,80.43,False
"Geoffrey VAN ORDEN",4513,7828,9746,80.32,True
"Claude TURMES",4432,6004,7484,80.22,False
"Rachida DATI",72775,7816,9746,80.20,True
"Hans JANSEN",125029,585,730,80.14,False
"Anna HEDH",28131,7789,9746,79.92,True
"Renate WEBER",39713,7780,9746,79.83,True
"Marcel de GRAAFF",125025,7778,9746,79.81,True
"Dan NICA",124784,7773,9746,79.76,True
"Lynn BOYLAN",124984,7762,9746,79.64,True
"Maria Gabriela ZOANĂ",191377,2568,3225,79.63,True
"Fabio DE MASI",124858,4655,5861,79.42,False
"Demetris PAPADAKIS",124692,7736,9746,79.38,True
"Lara COMI",96775,7734,9746,79.36,True
"Pilar AYUSO",4319,7725,9746,79.26,True
"Amjad BASHIR",124956,7718,9746,79.19,True
"Teresa JIMÉNEZ-BECERRIL BARRIO",96806,7718,9746,79.19,True
"István UJHELYI",124705,7717,9746,79.18,True
"Sirpa PIETIKÄINEN",40599,7714,9746,79.15,True
"Diane JAMES",124939,7709,9746,79.10,True
"Jana ŽITŇANSKÁ",124901,7706,9746,79.07,True
"Julie GIRLING",96956,7699,9746,79.00,True
"Paulo RANGEL",96903,7693,9746,78.93,True
"Pilar del CASTILLO VERA",28390,7669,9746,78.69,True
"Georgios KYRTSOS",125063,7658,9746,78.58,True
"Kay SWINBURNE",96920,7644,9746,78.43,True
"Karl-Heinz FLORENZ",1038,7640,9746,78.39,True
"Jean-François JALKH",124770,7632,9746,78.31,True
"Eva KAILI",125109,7629,9746,78.28,True
"Diane DODDS",96951,7618,9746,78.17,True
"Christofer FJELLNER",28126,7617,9746,78.16,True
"Daciana Octavia SÂRBU",33989,7617,9746,78.16,True
"Gerben-Jan GERBRANDY",96940,7614,9746,78.12,True
"Nikolaos CHOUNTIS",26851,7610,9746,78.08,True
"Krišjānis KARIŅŠ",96901,7603,9746,78.01,True
"Mariya GABRIEL",96848,4380,5621,77.92,False
"György HÖLVÉNYI",124715,7587,9746,77.85,True
"Stefano MAULLU",133326,6604,8513,77.58,True
"Jacqueline FOSTER",4553,7552,9746,77.49,True
"Vicky MAEIJER",97513,3919,5070,77.30,False
"Paolo DE CASTRO",96891,7517,9746,77.13,True
"Krystyna ŁYBACKA",124883,7514,9746,77.10,True
"Rikke-Louise KARLSSON",124876,7511,9746,77.07,True
"Anna Elżbieta FOTYGA",28353,7497,9746,76.92,True
"Gianni PITTELLA",4436,5359,6969,76.90,False
"Reinhard BÜTIKOFER",96739,7494,9746,76.89,True
"Hermann WINKLER",96764,7493,9746,76.88,True
"Giorgos GRAMMATIKAKIS",125112,7451,9746,76.45,True
"Esther HERRANZ GARCÍA",22418,7446,9746,76.40,True
"Kostadinka KUNEVA",125092,7445,9746,76.39,True
"Adina-Ioana VĂLEAN",37324,7434,9746,76.28,True
"Jacek SARYUSZ-WOLSKI",28297,7427,9746,76.21,True
"Konstantinos PAPADAKIS",125093,7420,9746,76.13,True
"Ian DUNCAN",124960,4181,5507,75.92,False
"Pablo ZALBA BIDEGAIN",96763,3298,4345,75.90,False
