epid,mep,country,group,dossier,title,lobbyists,committees,location,role,date
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Exchange of views on future mobility issues,"FIA, Touring",['TRAN'],European Parliament,Member,5/11/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Exchange of views on various aviation topics for the upcoming legislative period,Luftansa,['TRAN'],European Parliament,Member,24/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Exchange of views on Brexit,"British Chamber of Commerce - Belgium, VOKA",['ECON'],"Hilton Hotel, Avenue Herrenschmidt 1, Strasbourg, France",Member,23/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Brexit - CCP Recovery & Resolution - AOB - EU clearing,FIA,['ECON'],European Parliament,Member,16/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Klimaatdividend,"Kristof Descheemaeker, Johan Coolen",,European Parliament,Member,15/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Flemish civil aviation,AeroSpace and Defence Industries Association of Europe,['TRAN'],European Parliament,Member,15/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,"Toekomstvisie en de beleidsprioriteiten voor de chemie-, kunststoffen- en farmasector in België en in europa",Essencia,,"Bibliotheek Solvay, Leopoldpark, Belliardstraat 137, Brussel.",Member,15/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Conference: Sustainable green financing in the cohesion countries.,"Ministers of Finance of the cohesion countries, Business stakeholders,",,Globsec Tatra Summit 2019 - Slovakia,Member,11/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Speaker Panel Debate: Preparing for the next recession?,Tatra Summit,,Globsec Tatra Summit 2019,Member,11/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],CLO's,UBS,['ECON'],Conference Call,Member,9/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,International political and economic situation,US Embassy - Pieter-Jan Van Steenkiste,,European Parliament,Member,2/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Freedom Drive,ENIL,['TRAN'],European Parliament,Member,1/10/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Vision on waterway transport,Inland Navigation Europe,['TRAN'],European Parliament,Member,26/9/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Interview,Doorbraak,,European Parliament,Member,25/9/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],CLO’s and leveraged loans,UBS,['ECON'],Conference Call,Member,24/9/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Development of Capital Markets,Investment Company Institute (ICI),['ECON'],European Parliament,Member,18/9/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],New priorities of the new European Parliament and ECON Committee,"JP Morgan, Vittorio Grilli",['ECON'],European Parliament,Member,16/9/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Presentation of the food industry and its priorities for next years,FEVIA,,"Maison Kammerzell, Place de la Cathédrale 16, Strasbourg",Member,16/9/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,Prioirities for the industry,Wouter De Geest,,BASF Antwerpen,Member,13/9/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,[''],Vlaamse scheepvaart,Belgische Redersfederatie,['TRAN'],"Redershuis, Ernest Van Dijckkaai 8, Antwerpen",Member,6/9/2019
125106,Johan VAN OVERTVELDT,Belgium,ECR,,International economic situation,Anthony De Lannoy - Executive Director IMF,,European Parliament,Member,2/9/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Facebook,"Claire Anne Valérie Dilé, Ania Helseth",,Brussels,Member,30/6/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Skyscanner,"Kirsty Ireland, Martin Nolan",,Brussels,Member,30/6/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Workday,"Jim Shaughnessy, Jason Albert",,Brussels,Member,10/6/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with European Policy Centre and Algorithm Watch,"Andreas Aktoudianakis, Mackenzie Nelson",,Brussels,Member,9/6/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with StreamAnalyze,"Peter Ekelund, Jan Nilsson",,Brussels,Member,26/5/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Facebook,"Claire Dile, Ania Helseth",,Brussels,Member,14/5/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Vodafone,Joakim Reiter,,Brussels,Member,11/5/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting wirh LVMH,Jaymeen Patel,,Brussels,Member,20/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with ACT,Rosario Parise,,Brussels,Member,19/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Santander,"Carsten Hess, Antonia H. Garcia del Riego",,Brussels,Member,19/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Onfido,Megan Ridderhof,,Brussels,Member,6/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with the Federal Chancellery of Germany and the Permanent Representation of the Federal Republic of Germany to the European Union,"Hendrik Hoppenstedt MP, Andrea M.Schneider, Ulrike Krumsee-Budde, Pia Wenningmann",,Brussels,Member,5/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with the Government of Gibraltar,"Daniel D´Amato, Paul Astengo, Albert Isola MP, Paul Patron",,Brussels,Member,5/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Eesti Looduse Fond,Siim Kuresoo,,Brussels,Member,4/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with the Ambassador of the Mission of Japan to the European Union,"Kazuo Kodama, Akihiko Sunami",,Brusssels,Member,4/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with News Media Europe,Iacob Gammeltoft,,Brussels,Member,3/2/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Hikvision,"Jeffrey He, Mathias van Malderghem-Nagy",,Brussels,Member,28/1/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with The Brookings Institution,Cameron Kerry,,Brussels,Member,28/1/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with BCS,John Higgins,,Brussels,Member,23/1/2020
124696,Andrus ANSIP,Estonia,RE,,Meeting with Confederation of Finnish Industries EK,"Kati Ruohomäki, Karoliina Rasi, Petri Vuorio",,Strasbourg,Member,18/12/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with EuroCommerce and Amazon,"Neil McMillan, Christian Verschueren",,Strasbourg,Member,17/12/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with e-riigi Akadeemia,"Liia Hänni, Jelizaveta Krenjova-Cepilova",,Brussels,Member,9/12/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Ericsson,"Rene Summer, Larisa Pircalabelu",,Brussels,Member,9/12/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Tieto Corporation and Public Affairs,"Christian Guttmann, Petja Piilola",,Brussels,Member,3/12/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with AmCham,"Edward Haynes (AmCham EU), Aliki Foinikopoulou (Salesforce), Cate Nymann (Cisco), Claudia Selli (AT&T)",,Strasbourg,Member,27/11/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with La Poste,"Claire Broussaudier, Jean Paul Forceville",,Strasbourg,Member,26/11/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Teeme Ära SA,Kadri Kalle,,Brussels,Member,13/11/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Ministry of Economic Affairs and Employment of Finland,"Hannele Timonen, Isabella Paju",,Strasbourg,Member,22/10/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Schibsted,Petra Wikstrom,,Brussels,Member,1/10/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with TechUK,Sabina Ciofu,,Brussels,Member,1/10/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with GSMA,"Tomas Jakimavicius, Maria Sotiriou",,Strasbourg,Member,17/9/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with IMPALA,"Angel Labrusse, Helen Smith",,Brussels,Member,4/9/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Regavim,"Naomi Linder Kahn, Jenny Aharon, Meir Deutsch",,Brussels,Member,4/9/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with Vodafone,"Joakim Reiter, Agnieszka Skorupinska",,Brussels,Member,4/9/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with EuroISPA,"Annie Deadman, Innecenzo Genna, Dr. Maximilian Schubert, Alexandra Lafitte",,Brussels,Member,22/7/2019
124696,Andrus ANSIP,Estonia,RE,,Meeting with European Telecommunications Network Operators' Association,"Lise Fuhr,, Alessandro Gropelli",,Brussels,Member,22/7/2019
124696,Andrus ANSIP,Estonia,RE,,Society of Audiovisual Authors,Cécile Despringre,,Brussels,Member,22/7/2019
