mep,epid,group,country,lobbyists,dossier,committees,role,title,location,date
Johan VAN OVERTVELDT,125106,ECR,Belgium,ESPO,[''],['TRAN'],Member,"CEF-budget, TEN-T, vergroening scheepvaart en geopolitiek in transportbeleid.",Europees Parlement,05/11/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Positive Money Europe,"[""EP's Annual report on the ECB""]",['ECON'],Shadow rapporteur,EP's Annual report on the ECB,European Parliament,05/11/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,"FIA, Touring",[''],['TRAN'],Member,Exchange of views on future mobility issues,European Parliament,05/11/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Luftansa,[''],['TRAN'],Member,Exchange of views on various aviation topics for the upcoming legislative period,European Parliament,24/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,"British Chamber of Commerce - Belgium, VOKA",[''],['ECON'],Member,Exchange of views on Brexit,"Hilton Hotel, Avenue Herrenschmidt 1, Strasbourg, France",23/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,FIA,[''],['ECON'],Member,Brexit - CCP Recovery & Resolution - AOB - EU clearing,European Parliament,16/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,"Kristof Descheemaeker, Johan Coolen",,,Member,Klimaatdividend,European Parliament,15/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,AeroSpace and Defence Industries Association of Europe,[''],['TRAN'],Member,Flemish civil aviation,European Parliament,15/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Essencia,,,Member,"Toekomstvisie en de beleidsprioriteiten voor de chemie-, kunststoffen- en farmasector in België en in europa","Bibliotheek Solvay, Leopoldpark, Belliardstraat 137, Brussel.",15/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,"Ministers of Finance of the cohesion countries, Business stakeholders,",,,Member,Conference: Sustainable green financing in the cohesion countries.,Globsec Tatra Summit 2019 - Slovakia,11/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Tatra Summit,,,Member,Speaker Panel Debate: Preparing for the next recession?,Globsec Tatra Summit 2019,11/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,UBS,[''],['ECON'],Member,CLO's,Conference Call,09/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,US Embassy - Pieter-Jan Van Steenkiste,,,Member,International political and economic situation,European Parliament,02/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,ENIL,[''],['TRAN'],Member,Freedom Drive,European Parliament,01/10/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Inland Navigation Europe,[''],['TRAN'],Member,Vision on waterway transport,European Parliament,26/09/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Doorbraak,,,Member,Interview,European Parliament,25/09/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,UBS,[''],['ECON'],Member,CLO’s and leveraged loans,Conference Call,24/09/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Investment Company Institute (ICI),[''],['ECON'],Member,Development of Capital Markets,European Parliament,18/09/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,"JP Morgan, Vittorio Grilli",[''],['ECON'],Member,New priorities of the new European Parliament and ECON Committee,European Parliament,16/09/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,FEVIA,,,Member,Presentation of the food industry and its priorities for next years,"Maison Kammerzell, Place de la Cathédrale 16, Strasbourg",16/09/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Wouter De Geest,,,Member,Prioirities for the industry,BASF Antwerpen,13/09/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Belgische Redersfederatie,[''],['TRAN'],Member,Vlaamse scheepvaart,"Redershuis, Ernest Van Dijckkaai 8, Antwerpen",06/09/2019
Johan VAN OVERTVELDT,125106,ECR,Belgium,Anthony De Lannoy - Executive Director IMF,,,Member,International economic situation,European Parliament,02/09/2019
Andrus ANSIP,124696,RE,Estonia,"Ermo Tikk, Triin Kask, Priit Salumaa, Tõnu Runnel, Sten Tamkivi, Kaupo Voormansik, Martin Vares, Madis Lehtmets",,,Member -,"Meeting with Asutajate Selts, Mooncascade, Sixfold, KappaZeta, Fractory, Remato, startupday",Estonia,04/11/2020
Andrus ANSIP,124696,RE,Estonia,"David Martin Ruiz, Ernani Cerasaro, Maryant Cerasaro",['Special report from AIDA Committee'],['AIDA'],Shadow rapporteur,Meeting with BEUC,"Brussels, online",27/10/2020
Andrus ANSIP,124696,RE,Estonia,"Pascal Rogard, Aurelie Doutriaux",['AI'],['AIDA'],Shadow rapporteur,Meeting with Orange,"Brussels, online",15/10/2020
Andrus ANSIP,124696,RE,Estonia,"Anni Tooma, Helis Pokker, Vahur Valvere",,,Member,Meeting with Põhja-Tallinna Regionaalhaigla and Rud Pedersen Public Affairs Estonia,"Brussels, online",14/10/2020
Andrus ANSIP,124696,RE,Estonia,"Peter Ekelund, Jan Nilsson",['AI'],['AIDA'],Shadow rapporteur,Meeting with StreamAnalyze,"Brussels, online",14/10/2020
Andrus ANSIP,124696,RE,Estonia,"Nitsan Manbar, Kate Brightwell",,,Member,Meeting with Adobe,"Brussels, online",13/10/2020
Andrus ANSIP,124696,RE,Estonia,Lukas Klingholz,['AI'],['AIDA'],Shadow rapporteur,Meeting with Bitkom,"Brussels, online",13/10/2020
Andrus ANSIP,124696,RE,Estonia,"Quang-Minh Lepescheux, Casper Klynge, Antoine Kubiak",,,Member,Meeting with Microsoft,"Brussels, online",30/09/2020
Andrus ANSIP,124696,RE,Estonia,"Nathalie Laneret, Bojana Bellamy",,,Member,Meeting with CIPL,"Brussels, online",29/09/2020
Andrus ANSIP,124696,RE,Estonia,"Brigit Carroll, Magali Van Bulck",,,Member,Meeting with Tranferwise,"Brussels, online",29/09/2020
Andrus ANSIP,124696,RE,Estonia,"Stefania Moise, Ilya Bruggeman, Ena Salihovic",,,Member,Meeting with EuroCommerce,"Brussels, online",24/09/2020
Andrus ANSIP,124696,RE,Estonia,"Gerrit Steinfort, Jean-Marc Leclerc",,,Member,Meeting with IBM,"Brussels, online",24/09/2020
Andrus ANSIP,124696,RE,Estonia,"Marco Leto Barone, Guido Lobrano, Vivien Witt",,,Member,Meeting with Technology Industry Council,"Brussels, online",24/09/2020
Andrus ANSIP,124696,RE,Estonia,William Moreau,,,Member,Meeting with CLEPA,"Brussels, online",22/09/2020
Andrus ANSIP,124696,RE,Estonia,"Christophe Leclercq, Marc Sundermann, Nathalie Bargues",,,Member,Meeting with Euractiv,"Brussels, online",22/09/2020
Andrus ANSIP,124696,RE,Estonia,"Sophie Compagnon, Romain Lerallut, Liva Ralaivola",,,Member,Meeting with Criteo,"Brussels, online",10/09/2020
Andrus ANSIP,124696,RE,Estonia,Hendrik Bourgeois,,,Member,Meeting with Apple,"Brussels, online",08/09/2020
Andrus ANSIP,124696,RE,Estonia,Jan Gütter,,,Member,Meeting with AMD,Brussels,07/07/2020
Andrus ANSIP,124696,RE,Estonia,"Claire Anne Valérie Dilé, Ania Helseth",,,Member,Meeting with Facebook,Brussels,30/06/2020
Andrus ANSIP,124696,RE,Estonia,"Kirsty Ireland, Martin Nolan",,,Member,Meeting with Skyscanner,Brussels,30/06/2020
Andrus ANSIP,124696,RE,Estonia,"Jim Shaughnessy, Jason Albert",,,Member,Meeting with Workday,Brussels,10/06/2020
