epid,mep,role,country,group,location,title,lobbyists,mep,dossier,committees,date
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,Globsec Tatra Summit 2019,Speaker Panel Debate: Preparing for the next recession?,Tatra Summit,Johan VAN OVERTVELDT,,,11/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,Conference Call,CLO's,UBS,Johan VAN OVERTVELDT,[''],['ECON'],09/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,International political and economic situation,US Embassy - Pieter-Jan Van Steenkiste,Johan VAN OVERTVELDT,,,02/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Freedom Drive,ENIL,Johan VAN OVERTVELDT,[''],['TRAN'],01/10/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Vision on waterway transport,Inland Navigation Europe,Johan VAN OVERTVELDT,[''],['TRAN'],26/09/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Interview,Doorbraak,Johan VAN OVERTVELDT,,,25/09/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,Conference Call,CLO’s and leveraged loans,UBS,Johan VAN OVERTVELDT,[''],['ECON'],24/09/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,Development of Capital Markets,Investment Company Institute (ICI),Johan VAN OVERTVELDT,[''],['ECON'],18/09/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,New priorities of the new European Parliament and ECON Committee,"JP Morgan, Vittorio Grilli",Johan VAN OVERTVELDT,[''],['ECON'],16/09/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,"Maison Kammerzell, Place de la Cathédrale 16, Strasbourg",Presentation of the food industry and its priorities for next years,FEVIA,Johan VAN OVERTVELDT,,,16/09/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,BASF Antwerpen,Prioirities for the industry,Wouter De Geest,Johan VAN OVERTVELDT,,,13/09/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,"Redershuis, Ernest Van Dijckkaai 8, Antwerpen",Vlaamse scheepvaart,Belgische Redersfederatie,Johan VAN OVERTVELDT,[''],['TRAN'],06/09/2019
125106,Johan VAN OVERTVELDT,Member,Belgium,ECR,European Parliament,International economic situation,Anthony De Lannoy - Executive Director IMF,Johan VAN OVERTVELDT,,,02/09/2019
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with StreamAnalyze,"Peter Ekelund, Jan Nilsson",Andrus ANSIP,,,26/05/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Facebook,"Claire Dile, Ania Helseth",Andrus ANSIP,,,14/05/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with Vodafone,Joakim Reiter,Andrus ANSIP,,,11/05/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting wirh LVMH,Jaymeen Patel,Andrus ANSIP,,,20/02/2020
124696,Andrus ANSIP,Member,Estonia,RE,Brussels,Meeting with ACT,Rosario Parise,Andrus ANSIP,,,19/02/2020
